version,release_date,feature_name,category,models,hardware,description
2023.44.30.15,"February 9, 2024",Automatic Speed Offset,Undocumented Change,,,
2023.44.30.20,"February 18, 2024",FSD Beta v12.2.1,New Feature,,,
2023.44.30.20,"February 18, 2024",Over-the-Air Recall: Telltale Text Size,New Feature,,,
2023.44.30.20,"February 18, 2024",Removal of TACC with FSD Beta,Undocumented Change,,,
2023.44.30.20,"February 18, 2024",U-Turns,Undocumented Change,,,
2023.44.30.20,"February 18, 2024",Automatic Speed Offset,Undocumented Change,,,
2023.44.30.25,"March 12, 2024",FSD Beta v12.3,New Feature,,,
2023.44.30.25,"March 12, 2024",Removal of TACC with FSD Beta,Undocumented Change,,,
2023.44.30.25,"March 12, 2024",U-Turns,Undocumented Change,,,
2023.44.30.25,"March 12, 2024",Automatic Speed Offset,Undocumented Change,,,
2023.44.30.30,"March 24, 2024",FSD Beta v12.3.1,New Feature,,,
2023.44.30.30,"March 24, 2024",Single Pull in FSD Beta,Undocumented Change,,,
2023.44.30.30,"March 24, 2024",Removal of TACC with FSD Beta,Undocumented Change,,,
2023.44.30.30,"March 24, 2024",U-Turns,Undocumented Change,,,
2023.44.30.30,"March 24, 2024",Automatic Speed Offset,Undocumented Change,,,
2023.6.1,"March 3, 2023",Steering Wheel Heat,New Feature,,,
2023.6.1,"March 3, 2023",New Language Support,New Feature,,,
2023.6.1,"March 3, 2023",Dog Mode,New Feature,,,
2023.6.1,"March 3, 2023",Sentry Mode Live Camera Access,New Feature,,,
2023.6.1,"March 3, 2023",Trip Planner,New Feature,,,
2023.6.1,"March 3, 2023",Zoom Meetings,New Feature,,,
2023.6.1,"March 3, 2023",Apple Music,New Feature,,,
2023.6.1,"March 3, 2023",App Displays the Vehicle's Route,Undocumented Change,,,
2023.6.1,"March 3, 2023",Manual App,Undocumented Change,,,
2023.6.1,"March 3, 2023",Reverse Camera,Undocumented Change,,,
2023.6.1,"March 3, 2023",Climate System Warming Up,Undocumented Change,,,
2023.6.1,"March 3, 2023",Browser,Undocumented Change,,,
2023.6.1,"March 3, 2023",Tire Pressure Card,Undocumented Change,,,
2023.6.1,"March 3, 2023",Improvements to Apple Music,Undocumented Change,,,
2023.6.1,"March 3, 2023",Welcome Screen,Undocumented Change,,,
2023.6.100.1,"April 24, 2023",Regenerative Braking,New Feature,,,
